# Don't forget to compile with `tilemap.py` once you've finished changing this file!

# Spring 1

< 9,  10 - Cloud: 4

> 2,  5  - Ladder: 6
> 3,  10 - DirtH: 4
> 4,  9  - DirtH: 2
> 5,  11 - Sandcastle
> 9,  9  - PTLeaf: 7
> 12, 0  - Trunk: 10
> 0,  7  - Cloud: 2
> 1, 13  - Cloud: 5
> 5, 12  - Cloud: 2
> 10, 5  - Cloud: 4


< 5,  0  - Pillar: 5
< 6,  0  - FloorPtn: 8
< 12, 0  - FloorPtn: 6
< 12, 0  - Pillar: 5
< 13, 4  - Bricks: 1
< 13, 3  - Bricks: 2
< 13, 2  - Bricks: 3
< 0,  7  - Bird
< 1,  8  - Bird
< 2,  7  - Bird
< 4,  11 - Cloud: 5
< 6,  10 - Cloud: 4
< 8,  9  - Cloud: 4
< 11, 10 - Cloud: 2
< 14, 9  - Cloud: 2

> 2,  2  - Spade
> 4,  2  - Bricks: 3
> 5,  3  - Bush: 2
> 9,  2  - StoneBlk
> 10, 2  - StoneBlk
> 11, 2  - StoneBlk
> 11, 5  - StoneW: 5
> 12, 0  - FloorPtn: 4
> 12, 2  - StoneBlk
> 12, 5  - Stone: 6
> 13, 2  - StoneBlk
> 13, 5  - Stone: 6
> 14, 0  - FloorPtn: 3
> 2,  10 - Cloud: 5
> 3,  9  - Cloud: 5
> 4,  11 - Cloud: 5

# Cave 2 (automn)
< 6,  0  - PalleteChng: 2

# Offscreen tiles so it ends with a blank screen
. 0,  0  - FloorPtn: 0
. 14, 14 - Grass: 1
. 14, 14 - Grass: 1
. 14, 14 - Grass: 1

